dataset_id,dataset_root,episode_index,parquet_path,expected_frames,rows,global_index_min,global_index_max,max_abs_joint_delta,max_abs_joint_delta_frame,max_abs_joint_delta_joint,max_action_jump,max_action_jump_frame,max_action_jump_joint,max_state_jump,max_state_jump_frame,max_state_jump_joint,max_ts_gap_ms,max_ts_gap_frame,ts_gaps_over_warning,state_left_gripper_min,state_left_gripper_max,state_right_gripper_min,state_right_gripper_max,action_left_gripper_min,action_left_gripper_max,action_right_gripper_min,action_right_gripper_max,video_frames,duplicate_frame_candidates,exclude_reasons,review_reasons,status
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,0,data/chunk-000/episode_000000.parquet,508,508,0,507,0.13965141773223877,436,12,0.06404757499694824,322,13,0.06721735000610352,320,13,51.444736,102,2,0.0,0.2173333317041397,0.0,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 508, ""observation.images.hand_right"": 508, ""observation.images.top_head"": 508}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,1,data/chunk-000/episode_000001.parquet,547,547,508,1054,0.14970028400421143,465,12,0.06726843118667603,351,13,0.07911831140518188,351,13,51.087872,258,4,0.0,0.2173333317041397,0.0,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 547, ""observation.images.hand_right"": 547, ""observation.images.top_head"": 547}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,2,data/chunk-000/episode_000002.parquet,448,448,1055,1502,0.15974080562591553,62,12,0.07250845432281494,263,13,0.07020139694213867,266,13,54.612992,289,1,0.0,0.2173333317041397,0.0,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 448, ""observation.images.hand_right"": 448, ""observation.images.top_head"": 448}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,3,data/chunk-000/episode_000003.parquet,504,504,1503,2006,0.16254544258117676,434,12,0.06754982471466064,445,12,0.06098783016204834,292,13,50.502144,50,1,0.0,0.2173333317041397,0.2173333317041397,119.82379913330078,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 504, ""observation.images.hand_right"": 504, ""observation.images.top_head"": 504}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,4,data/chunk-000/episode_000004.parquet,473,473,2007,2479,0.1604403853416443,412,12,0.07074224948883057,424,12,0.0569915771484375,281,13,48.714496,22,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 473, ""observation.images.hand_right"": 473, ""observation.images.top_head"": 473}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,5,data/chunk-000/episode_000005.parquet,502,502,2480,2981,0.17483502626419067,420,12,0.0883646011352539,431,12,0.06027233600616455,297,13,43.723264,404,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 502, ""observation.images.hand_right"": 502, ""observation.images.top_head"": 502}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,6,data/chunk-000/episode_000006.parquet,475,475,2982,3456,0.1925945281982422,402,12,0.08555483818054199,412,12,0.05906820297241211,276,13,42.626816,224,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 475, ""observation.images.hand_right"": 475, ""observation.images.top_head"": 475}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,7,data/chunk-000/episode_000007.parquet,474,474,3457,3930,0.13032042980194092,412,12,0.06494653224945068,285,13,0.06791543960571289,284,13,44.566272,463,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 474, ""observation.images.hand_right"": 474, ""observation.images.top_head"": 474}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,8,data/chunk-000/episode_000008.parquet,565,565,3931,4495,0.15768206119537354,492,12,0.07284426689147949,502,12,0.05566549301147461,351,13,48.082688,324,0,0.0,0.2173333317041397,0.2173333317041397,119.82379913330078,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 565, ""observation.images.hand_right"": 565, ""observation.images.top_head"": 565}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,9,data/chunk-000/episode_000009.parquet,475,475,4496,4970,0.1825772523880005,412,12,0.08764052391052246,422,12,0.05749773979187012,291,13,43.44576,314,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 475, ""observation.images.hand_right"": 475, ""observation.images.top_head"": 475}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,10,data/chunk-000/episode_000010.parquet,488,488,4971,5458,0.14581620693206787,406,12,0.06510746479034424,417,12,0.05995821952819824,276,13,49.927424,124,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 488, ""observation.images.hand_right"": 488, ""observation.images.top_head"": 488}",{},,,pass
task_5867,/root/autodl-tmp/data_new/sft_data/task_5867_203/task_5867,11,data/chunk-000/episode_000011.parquet,457,457,5459,5915,0.16151154041290283,381,12,0.07055652141571045,393,12,0.06686830520629883,251,13,46.900736,93,0,0.0,0.2173333317041397,0.2173333317041397,120.0,0.0,0.0,0.0,1.0,"{""observation.images.hand_left"": 457, ""observation.images.hand_right"": 457, ""observation.images.top_head"": 457}",{},,,pass
